filepath,tone,chinese,pinyin,duration_sec
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0004.wav,4,——几乎是每天，出入于质铺和药店里，,— — jī hū shì měi tiān ， chū rù yú zhí pù hé yào diàn lǐ ，,3.81
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0020.wav,4,总之那时是用了电影，来显示微生物的形状的，,zǒng zhī nà shí shì yòng liào diàn yǐng ， lái xiǎn shì wēi shēng wù dì xíng zhuà,4.59
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0025.wav,2,一样是强壮的体格，而显出麻木的神情。,yī yàng shì qiáng zhuàng dì tǐ gé ， ér xiǎn chū má mù dì shén qíng 。,4.01
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0028.wav,4,因为从那一回以后，我便觉得医学并非一件紧要事，,yīn wèi zòng nuó yī huí yǐ hòu ， wǒ pián jué de yī xué bìng fēi yī jiàn jǐn yào ,5.7
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0034.wav,1,商量之后，第一步当然是出杂志，,shāng liang zhī hòu ， dì yī bù dāng rán shì chū zá zhì ，,3.85
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0043.wav,3,我于是以我所感到者为寂寞。,wǒ yú shì yǐ wǒ suǒ gǎn dào zhě wèi jì mò 。,3.95
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0046.wav,4,就是我决不是一个振臂一呼应者云集的英雄。,jiù shì wǒ jué bù shì yī gè zhèn bì yī hū yìng zhě yún jí dì yīng xióng 。,5.77
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0047.wav,4,只是我自己的寂寞是不可不驱除的，因为这于我太痛苦。,zhǐ shì wǒ zì jǐ dì jì mò shì bù kě bù qū chú dì ， yīn wèi zhè yú wǒ tài tòng kǔ,5.88
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0049.wav,4,后来也亲历或旁观过几样更寂寞更悲哀的事，,hòu lái yě qīn lì huò páng guān guo jǐ yàng gèng jì mò gèng bēi āi dì shì ，,4.21
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0050.wav,1,都为我所不愿追怀，甘心使他们和我的脑一同消灭在泥土里的，,dū wèi wǒ suǒ bù yuàn zhuī huái ， gān xīn shǐ tā men hé wǒ dì nǎo yī tóng xiāo m,5.94
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0057.wav,4,⑤，将手提的大皮夹放在破桌上，脱下长衫，对面坐下了，,， qiāng shǒu tí dì dài pí jiā fàng zài pò zhuō shàng ， tuō xià cháng shān ， duì ,5.48
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0062.wav,4,我想，他们许是感到寂寞了，但是说：,wǒ xiǎng ， tā men xǔ shì gǎn dào jì mò liào ， dàn shì shuō ：,5.32
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0064.wav,4,然而是从昏睡入死灭，并不感到就死的悲哀。,rán ér shì cóng hūn shuì rù sǐ miè ， bìng bù gǎn dào jiù sǐ dì bēi āi 。,4.83
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0066.wav,3,你倒以为对得起他们么？”,nǐ dào yǐ wéi duì de qǐ tā men me ？,4.48
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0074.wav,4,但既然是呐喊，则当然须听将令的了，,dàn jì rán shì nà hǎn ， zé dāng rán xū tìng jiāng lìng dì liào ，,3.86
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0088.wav,4,持归阅一过，知所患盖“迫害狂”之类。,chí guī yuè yī guò ， zhī suǒ huàn gài pò hài kuáng zhī lèi 。,4.66
